hour,weekday,floor_int,temperature,occupancy,power
0,1,1,69.9120189516168,0,49.4783517189899
0,1,1,68.3520184232478,0,38.6434185448234
0,1,1,69.4587077425237,0,43.8465598158764
0,1,1,69.5150968986645,0,36.8302607152509
0,1,1,70.8073503594649,0,60.024094660901
0,1,1,68.7943459919521,0,50.5852201669841
0,1,1,69.4899464657432,0,48.6806993836071
0,1,1,70.1213010152181,0,64.7165810041479
0,1,1,69.3836042029517,0,78.981490196049
0,1,1,68.206988752934,0,45.7821098835338
0,1,1,69.6524009035345,0,24.576981553495
0,1,1,70.5614790665476,0,50.9869285552013
0,1,1,70.2257392065866,0,64.2348690586514
0,1,1,69.7590133265445,0,59.6992266286979
0,1,1,69.865832144754,1,65.8520925154444
0,1,1,70.442532054165,0,37.0321874243527
0,1,1,69.5954479752925,0,56.9895480555097
0,1,1,69.9137486909565,0,30.0602350523914
0,1,2,68.4059983253479,0,41.4915165968268
0,1,2,70.0724487304688,0,47.2227644337181
0,1,2,70.2832383473714,0,57.9937815135527
0,1,2,70.1206946055094,0,59.12015846555
0,1,2,69.547127532959,0,56.179657109722
0,1,2,70.1844151814779,0,47.1365902289836
0,1,2,70.1427335739136,0,76.9739077634586
0,1,2,67.9441330591838,0,44.0999720826876
0,1,2,68.4264204025269,0,25.8985653604468
0,1,2,70.2414774576823,0,48.4549071426736
0,1,2,70.3099529266357,0,66.8912600895273
0,1,2,69.5067046483358,0,62.005756700004
0,1,2,68.7300076802572,0,64.2591459564865
0,1,2,69.84788266023,0,55.5393658383364
0,1,3,69.8961320477863,0,56.0087448825179
0,1,3,67.7598243203274,0,45.6976645747418
0,1,3,70.0543637830158,0,42.7053622659732
0,1,3,68.5999057681062,0,30.4681867183535
0,1,3,70.1194052641419,0,43.8087772846702
0,1,3,70.2373234504877,0,66.5439318810277
0,1,3,69.1884486757476,1,56.7120311037652
0,1,3,70.5141129161036,0,68.4201391701645
0,1,3,69.1288504046063,0,64.2261729444726
0,1,3,69.3781436654024,0,55.9925457690115
0,1,3,69.8438964931444,0,85.1659346653905
0,1,3,67.2132489404013,0,34.0453646514725
0,1,3,69.5788137524627,0,57.4201729097294
0,1,3,70.1920409805473,0,71.3978907372511
0,1,3,69.6518221677736,0,49.1641747093054
0,1,3,68.4785771924396,0,58.6665147655731
